engine,level,page,cer,wer
deepseek_ocr,clean,attention_p000,0.0497,0.0761
deepseek_ocr,clean,attention_p001,0.0115,0.0289
deepseek_ocr,clean,attention_p002,0.0531,0.0822
deepseek_ocr,clean,attention_p003,0.0762,0.1078
deepseek_ocr,clean,attention_p004,0.1115,0.1368
deepseek_ocr,clean,attention_p005,0.1201,0.1554
deepseek_ocr,clean,attention_p006,0.0569,0.0981
deepseek_ocr,clean,attention_p007,0.0849,0.1959
deepseek_ocr,clean,attention_p008,0.4166,1.0
deepseek_ocr,clean,attention_p009,0.0559,0.1339
deepseek_ocr,clean,attention_p010,0.0149,0.1026
deepseek_ocr,clean,attention_p011,0.0118,0.0761
deepseek_ocr,clean,attention_p012,0.4931,0.536
deepseek_ocr,clean,attention_p013,0.6577,0.7032
deepseek_ocr,clean,attention_p014,0.6551,0.7078
deepseek_ocr,clean,bert_p000,0.0276,0.116
deepseek_ocr,clean,bert_p001,0.0157,0.1048
deepseek_ocr,clean,bert_p002,0.1848,0.311
deepseek_ocr,clean,bert_p003,0.065,0.1407
deepseek_ocr,clean,bert_p004,0.1385,0.2452
deepseek_ocr,clean,bert_p005,0.3686,0.3801
deepseek_ocr,clean,bert_p006,0.4053,0.5557
deepseek_ocr,clean,bert_p007,0.057,0.1289
deepseek_ocr,clean,bert_p008,0.39,0.5375
deepseek_ocr,clean,bert_p009,0.0247,0.1584
deepseek_ocr,clean,bert_p010,0.0134,0.0923
deepseek_ocr,clean,bert_p011,0.0211,0.1196
deepseek_ocr,clean,bert_p012,0.2246,0.2839
deepseek_ocr,clean,bert_p013,0.017,0.0831
deepseek_ocr,clean,bert_p014,0.2529,0.3731
deepseek_ocr,clean,bert_p015,0.1154,0.205
deepseek_ocr,clean,resnet_p000,0.1303,0.1777
deepseek_ocr,clean,resnet_p001,0.0382,0.1101
deepseek_ocr,clean,resnet_p002,0.0619,0.1646
deepseek_ocr,clean,resnet_p003,0.403,0.4691
deepseek_ocr,clean,resnet_p004,0.3045,0.4153
deepseek_ocr,clean,resnet_p005,0.1838,0.2691
deepseek_ocr,clean,resnet_p006,0.1253,0.1797
deepseek_ocr,clean,resnet_p007,0.2221,0.2767
deepseek_ocr,clean,resnet_p008,0.0223,0.0983
deepseek_ocr,clean,resnet_p009,0.0183,0.0833
deepseek_ocr,clean,resnet_p010,0.2788,0.4474
deepseek_ocr,clean,resnet_p011,0.1183,0.1581
deepseek_ocr,light,attention_p000,0.1688,0.203
deepseek_ocr,light,attention_p001,0.0115,0.0289
deepseek_ocr,light,attention_p002,0.0575,0.0856
deepseek_ocr,light,attention_p003,0.0762,0.1078
deepseek_ocr,light,attention_p004,0.1106,0.1407
deepseek_ocr,light,attention_p005,0.1192,0.159
deepseek_ocr,light,attention_p006,0.0446,0.075
deepseek_ocr,light,attention_p007,0.0852,0.1959
deepseek_ocr,light,attention_p008,0.2897,0.7465
deepseek_ocr,light,attention_p009,0.0559,0.1339
deepseek_ocr,light,attention_p010,0.0149,0.1026
deepseek_ocr,light,attention_p011,0.0118,0.0761
deepseek_ocr,light,attention_p012,0.4931,0.536
deepseek_ocr,light,attention_p013,0.6577,0.7032
deepseek_ocr,light,attention_p014,0.6551,0.7078
deepseek_ocr,light,bert_p000,0.0276,0.116
deepseek_ocr,light,bert_p001,0.0157,0.1048
deepseek_ocr,light,bert_p002,0.2695,0.3677
deepseek_ocr,light,bert_p003,0.0642,0.1395
deepseek_ocr,light,bert_p004,0.1435,0.2516
deepseek_ocr,light,bert_p005,0.3447,0.3828
deepseek_ocr,light,bert_p006,0.2858,0.4534
deepseek_ocr,light,bert_p007,0.0594,0.1315
deepseek_ocr,light,bert_p008,0.3754,0.5135
deepseek_ocr,light,bert_p009,0.0247,0.1584
deepseek_ocr,light,bert_p010,0.0134,0.0923
deepseek_ocr,light,bert_p011,0.0213,0.1196
deepseek_ocr,light,bert_p012,0.2343,0.3129
deepseek_ocr,light,bert_p013,0.017,0.0831
deepseek_ocr,light,bert_p014,0.2643,0.3806
deepseek_ocr,light,bert_p015,0.127,0.2414
deepseek_ocr,light,resnet_p000,0.1305,0.1792
deepseek_ocr,light,resnet_p001,0.0382,0.1101
deepseek_ocr,light,resnet_p002,0.0621,0.1669
deepseek_ocr,light,resnet_p003,0.3371,0.4255
deepseek_ocr,light,resnet_p004,0.3032,0.4138
deepseek_ocr,light,resnet_p005,0.1829,0.2678
deepseek_ocr,light,resnet_p006,0.151,0.2112
deepseek_ocr,light,resnet_p007,0.3425,0.3986
deepseek_ocr,light,resnet_p008,0.0223,0.0983
deepseek_ocr,light,resnet_p009,0.0178,0.0833
deepseek_ocr,light,resnet_p010,0.504,0.5175
deepseek_ocr,light,resnet_p011,0.172,0.2108
deepseek_ocr,medium,attention_p000,0.0501,0.0787
deepseek_ocr,medium,attention_p001,0.0181,0.0547
deepseek_ocr,medium,attention_p002,0.069,0.1164
deepseek_ocr,medium,attention_p003,0.0762,0.1078
deepseek_ocr,medium,attention_p004,0.1162,0.1676
deepseek_ocr,medium,attention_p005,0.102,0.1517
deepseek_ocr,medium,attention_p006,0.0488,0.075
deepseek_ocr,medium,attention_p007,0.1153,0.1959
deepseek_ocr,medium,attention_p008,0.2776,0.6998
deepseek_ocr,medium,attention_p009,0.0559,0.1339
deepseek_ocr,medium,attention_p010,0.0149,0.1026
deepseek_ocr,medium,attention_p011,0.0118,0.0761
deepseek_ocr,medium,attention_p012,0.4931,0.536
deepseek_ocr,medium,attention_p013,0.6577,0.7032
deepseek_ocr,medium,attention_p014,0.6551,0.7078
deepseek_ocr,medium,bert_p000,0.0276,0.116
deepseek_ocr,medium,bert_p001,0.0157,0.1048
deepseek_ocr,medium,bert_p002,0.1407,0.2835
deepseek_ocr,medium,bert_p003,0.1174,0.1951
deepseek_ocr,medium,bert_p004,0.104,0.2177
deepseek_ocr,medium,bert_p005,0.3589,0.3841
deepseek_ocr,medium,bert_p006,0.2933,0.4565
deepseek_ocr,medium,bert_p007,0.0576,0.1289
deepseek_ocr,medium,bert_p008,0.387,0.5285
deepseek_ocr,medium,bert_p009,0.015,0.104
deepseek_ocr,medium,bert_p010,0.0227,0.1467
deepseek_ocr,medium,bert_p011,0.0208,0.1196
deepseek_ocr,medium,bert_p012,0.2292,0.2984
deepseek_ocr,medium,bert_p013,0.017,0.0831
deepseek_ocr,medium,bert_p014,0.2529,0.3731
deepseek_ocr,medium,bert_p015,0.1286,0.2299
deepseek_ocr,medium,resnet_p000,0.1303,0.1792
deepseek_ocr,medium,resnet_p001,0.0382,0.1101
deepseek_ocr,medium,resnet_p002,0.0621,0.1669
deepseek_ocr,medium,resnet_p003,0.403,0.4691
deepseek_ocr,medium,resnet_p004,0.3009,0.4124
deepseek_ocr,medium,resnet_p005,0.1838,0.2937
deepseek_ocr,medium,resnet_p006,0.1518,0.2112
deepseek_ocr,medium,resnet_p007,0.2331,0.3027
deepseek_ocr,medium,resnet_p008,0.0234,0.0983
deepseek_ocr,medium,resnet_p009,0.0178,0.0833
deepseek_ocr,medium,resnet_p010,0.2947,0.473
deepseek_ocr,medium,resnet_p011,0.1716,0.2096
deepseek_ocr,heavy,attention_p000,0.0508,0.0838
deepseek_ocr,heavy,attention_p001,0.0181,0.0547
deepseek_ocr,heavy,attention_p002,0.0728,0.1164
deepseek_ocr,heavy,attention_p003,0.0762,0.1078
deepseek_ocr,heavy,attention_p004,0.1078,0.1387
deepseek_ocr,heavy,attention_p005,0.1351,0.2267
deepseek_ocr,heavy,attention_p006,0.0654,0.1115
deepseek_ocr,heavy,attention_p007,0.0902,0.1698
deepseek_ocr,heavy,attention_p008,0.2958,0.6369
deepseek_ocr,heavy,attention_p009,0.055,0.1382
deepseek_ocr,heavy,attention_p010,0.0165,0.1119
deepseek_ocr,heavy,attention_p011,0.0118,0.0761
deepseek_ocr,heavy,attention_p012,0.4931,0.536
deepseek_ocr,heavy,attention_p013,0.6577,0.7032
deepseek_ocr,heavy,attention_p014,0.6551,0.7078
deepseek_ocr,heavy,bert_p000,0.0276,0.116
deepseek_ocr,heavy,bert_p001,0.0157,0.1048
deepseek_ocr,heavy,bert_p002,0.1429,0.2852
deepseek_ocr,heavy,bert_p003,0.113,0.2037
deepseek_ocr,heavy,bert_p004,0.104,0.2177
deepseek_ocr,heavy,bert_p005,0.1841,0.294
deepseek_ocr,heavy,bert_p006,0.2928,0.4565
deepseek_ocr,heavy,bert_p007,0.0474,0.1342
deepseek_ocr,heavy,bert_p008,0.3963,0.5601
deepseek_ocr,heavy,bert_p009,0.015,0.104
deepseek_ocr,heavy,bert_p010,0.0136,0.0938
deepseek_ocr,heavy,bert_p011,0.0103,0.0681
deepseek_ocr,heavy,bert_p012,0.0905,0.1935
deepseek_ocr,heavy,bert_p013,0.0199,0.0908
deepseek_ocr,heavy,bert_p014,0.2529,0.3731
deepseek_ocr,heavy,bert_p015,0.127,0.2471
deepseek_ocr,heavy,resnet_p000,0.1303,0.1792
deepseek_ocr,heavy,resnet_p001,0.04,0.1183
deepseek_ocr,heavy,resnet_p002,0.0623,0.1669
deepseek_ocr,heavy,resnet_p003,0.4034,0.4715
deepseek_ocr,heavy,resnet_p004,0.3019,0.4138
deepseek_ocr,heavy,resnet_p005,0.1219,0.2568
deepseek_ocr,heavy,resnet_p006,0.2534,0.3501
deepseek_ocr,heavy,resnet_p007,0.2249,0.2822
deepseek_ocr,heavy,resnet_p008,0.0086,0.0486
deepseek_ocr,heavy,resnet_p009,0.0189,0.0876
deepseek_ocr,heavy,resnet_p010,0.5044,0.5189
deepseek_ocr,heavy,resnet_p011,0.0834,0.1491
