engine,level,page,cer,wer
paddle,clean,attention_p000,0.0865,0.1041
paddle,clean,attention_p001,0.0005,0.0032
paddle,clean,attention_p002,0.1627,0.1507
paddle,clean,attention_p003,0.0594,0.0852
paddle,clean,attention_p004,0.01,0.0655
paddle,clean,attention_p005,0.0006,0.0055
paddle,clean,attention_p006,0.0066,0.0135
paddle,clean,attention_p007,0.0044,0.0093
paddle,clean,attention_p008,0.0256,0.0406
paddle,clean,attention_p009,0.0003,0.0043
paddle,clean,attention_p010,0.0006,0.007
paddle,clean,attention_p011,0.0006,0.0067
paddle,clean,attention_p012,0.2358,0.416
paddle,clean,attention_p013,0.2857,0.4387
paddle,clean,attention_p014,0.291,0.4286
paddle,clean,bert_p000,0.7039,0.8805
paddle,clean,bert_p001,0.7404,0.8922
paddle,clean,bert_p002,0.6101,0.7629
paddle,clean,bert_p003,0.7411,0.8877
paddle,clean,bert_p004,0.7044,0.8968
paddle,clean,bert_p005,0.5799,0.6848
paddle,clean,bert_p006,0.7296,0.9099
paddle,clean,bert_p007,0.7518,0.9141
paddle,clean,bert_p008,0.7069,0.8664
paddle,clean,bert_p009,0.7451,0.9136
paddle,clean,bert_p010,0.7439,0.8971
paddle,clean,bert_p011,0.6688,0.8073
paddle,clean,bert_p012,0.6292,0.8145
paddle,clean,bert_p013,0.7282,0.8646
paddle,clean,bert_p014,0.7,0.8383
paddle,clean,bert_p015,0.7454,0.8831
paddle,clean,resnet_p000,0.6759,0.8057
paddle,clean,resnet_p001,0.7639,0.9432
paddle,clean,resnet_p002,0.7167,0.8794
paddle,clean,resnet_p003,0.7104,0.8364
paddle,clean,resnet_p004,0.5611,0.7429
paddle,clean,resnet_p005,0.6715,0.7555
paddle,clean,resnet_p006,0.66,0.8098
paddle,clean,resnet_p007,0.693,0.8479
paddle,clean,resnet_p008,0.7744,0.9108
paddle,clean,resnet_p009,0.7281,0.8932
paddle,clean,resnet_p010,0.3766,0.4515
paddle,clean,resnet_p011,0.7347,0.8957
paddle,light,attention_p000,0.0865,0.1066
paddle,light,attention_p001,0.0002,0.0016
paddle,light,attention_p002,0.1627,0.1507
paddle,light,attention_p003,0.0594,0.0902
paddle,light,attention_p004,0.0103,0.0674
paddle,light,attention_p005,0.0017,0.0165
paddle,light,attention_p006,0.0127,0.0135
paddle,light,attention_p007,0.0047,0.0131
paddle,light,attention_p008,0.0266,0.0446
paddle,light,attention_p009,0.0006,0.0086
paddle,light,attention_p010,0.004,0.0443
paddle,light,attention_p011,0.0022,0.0179
paddle,light,attention_p012,0.2409,0.4
paddle,light,attention_p013,0.2986,0.4581
paddle,light,attention_p014,0.2846,0.4286
paddle,light,bert_p000,0.7037,0.8805
paddle,light,bert_p001,0.7419,0.8967
paddle,light,bert_p002,0.612,0.7698
paddle,light,bert_p003,0.7397,0.8901
paddle,light,bert_p004,0.7052,0.9
paddle,light,bert_p005,0.5801,0.6861
paddle,light,bert_p006,0.7344,0.9206
paddle,light,bert_p007,0.7522,0.9168
paddle,light,bert_p008,0.7074,0.8604
paddle,light,bert_p009,0.7473,0.9168
paddle,light,bert_p010,0.7456,0.9107
paddle,light,bert_p011,0.6688,0.8106
paddle,light,bert_p012,0.6292,0.8161
paddle,light,bert_p013,0.7289,0.8692
paddle,light,bert_p014,0.6927,0.8408
paddle,light,bert_p015,0.7438,0.8812
paddle,light,resnet_p000,0.6677,0.7877
paddle,light,resnet_p001,0.7613,0.9479
paddle,light,resnet_p002,0.7147,0.8782
paddle,light,resnet_p003,0.7137,0.8424
paddle,light,resnet_p004,0.5611,0.75
paddle,light,resnet_p005,0.6733,0.7555
paddle,light,resnet_p006,0.6628,0.8191
paddle,light,resnet_p007,0.6937,0.8479
paddle,light,resnet_p008,0.7746,0.9149
paddle,light,resnet_p009,0.7281,0.8921
paddle,light,resnet_p010,0.3883,0.4474
paddle,light,resnet_p011,0.7331,0.8946
paddle,medium,attention_p000,0.0865,0.1015
paddle,medium,attention_p001,0.0012,0.0096
paddle,medium,attention_p002,0.1627,0.1507
paddle,medium,attention_p003,0.0989,0.1303
paddle,medium,attention_p004,0.0122,0.0771
paddle,medium,attention_p005,0.0037,0.0311
paddle,medium,attention_p006,0.0211,0.0192
paddle,medium,attention_p007,0.006,0.0224
paddle,medium,attention_p008,0.0249,0.0487
paddle,medium,attention_p009,0.001,0.013
paddle,medium,attention_p010,0.0034,0.042
paddle,medium,attention_p011,0.005,0.0559
paddle,medium,attention_p012,0.2522,0.416
paddle,medium,attention_p013,0.2947,0.4258
paddle,medium,attention_p014,0.2885,0.4416
paddle,medium,bert_p000,0.7004,0.8787
paddle,medium,bert_p001,0.7408,0.8982
paddle,medium,bert_p002,0.6204,0.7698
paddle,medium,bert_p003,0.7438,0.8901
paddle,medium,bert_p004,0.705,0.8968
paddle,medium,bert_p005,0.5808,0.6861
paddle,medium,bert_p006,0.7431,0.9237
paddle,medium,bert_p007,0.75,0.9195
paddle,medium,bert_p008,0.7057,0.8619
paddle,medium,bert_p009,0.7449,0.92
paddle,medium,bert_p010,0.7466,0.9002
paddle,medium,bert_p011,0.6691,0.8056
paddle,medium,bert_p012,0.6316,0.8194
paddle,medium,bert_p013,0.7294,0.8569
paddle,medium,bert_p014,0.677,0.8358
paddle,medium,bert_p015,0.7448,0.8812
paddle,medium,resnet_p000,0.6693,0.7831
paddle,medium,resnet_p001,0.7635,0.9456
paddle,medium,resnet_p002,0.7182,0.8828
paddle,medium,resnet_p003,0.7161,0.8485
paddle,medium,resnet_p004,0.5688,0.7556
paddle,medium,resnet_p005,0.6783,0.7623
paddle,medium,resnet_p006,0.659,0.818
paddle,medium,resnet_p007,0.6902,0.8493
paddle,medium,resnet_p008,0.7744,0.9078
paddle,medium,resnet_p009,0.7281,0.8889
paddle,medium,resnet_p010,0.3868,0.465
paddle,medium,resnet_p011,0.7472,0.9126
paddle,heavy,attention_p000,0.0855,0.1218
paddle,heavy,attention_p001,0.0028,0.0241
paddle,heavy,attention_p002,0.1637,0.1644
paddle,heavy,attention_p003,0.0618,0.1203
paddle,heavy,attention_p004,0.0216,0.1002
paddle,heavy,attention_p005,0.017,0.0695
paddle,heavy,attention_p006,0.0084,0.0308
paddle,heavy,attention_p007,0.0103,0.0597
paddle,heavy,attention_p008,0.0215,0.0467
paddle,heavy,attention_p009,0.0016,0.0194
paddle,heavy,attention_p010,0.0065,0.0746
paddle,heavy,attention_p011,0.0059,0.0649
paddle,heavy,attention_p012,0.4565,0.552
paddle,heavy,attention_p013,0.2947,0.471
paddle,heavy,attention_p014,0.2897,0.4545
paddle,heavy,bert_p000,0.6986,0.8805
paddle,heavy,bert_p001,0.7428,0.8997
paddle,heavy,bert_p002,0.6323,0.7904
paddle,heavy,bert_p003,0.7401,0.8963
paddle,heavy,bert_p004,0.7039,0.9016
paddle,heavy,bert_p005,0.5801,0.6874
paddle,heavy,bert_p006,0.7417,0.9237
paddle,heavy,bert_p007,0.7509,0.9114
paddle,heavy,bert_p008,0.7145,0.8799
paddle,heavy,bert_p009,0.748,0.928
paddle,heavy,bert_p010,0.7445,0.9002
paddle,heavy,bert_p011,0.6696,0.8173
paddle,heavy,bert_p012,0.6635,0.8468
paddle,heavy,bert_p013,0.7422,0.8769
paddle,heavy,bert_p014,0.666,0.8159
paddle,heavy,bert_p015,0.7544,0.9195
paddle,heavy,resnet_p000,0.6714,0.7892
paddle,heavy,resnet_p001,0.7641,0.9515
paddle,heavy,resnet_p002,0.7141,0.876
paddle,heavy,resnet_p003,0.6809,0.8315
paddle,heavy,resnet_p004,0.5762,0.7768
paddle,heavy,resnet_p005,0.6787,0.7705
paddle,heavy,resnet_p006,0.6575,0.8121
paddle,heavy,resnet_p007,0.7076,0.8603
paddle,heavy,resnet_p008,0.7696,0.9412
paddle,heavy,resnet_p009,0.7377,0.9071
paddle,heavy,resnet_p010,0.3874,0.4906
paddle,heavy,resnet_p011,0.7447,0.9126
