engine,level,page,cer,wer
tesseract,clean,attention_p000,0.0956,0.1168
tesseract,clean,attention_p001,0.0038,0.0161
tesseract,clean,attention_p002,0.1566,0.1712
tesseract,clean,attention_p003,0.0507,0.1053
tesseract,clean,attention_p004,0.0285,0.0983
tesseract,clean,attention_p005,0.0202,0.0841
tesseract,clean,attention_p006,0.0114,0.0404
tesseract,clean,attention_p007,0.0247,0.0896
tesseract,clean,attention_p008,0.0323,0.0771
tesseract,clean,attention_p009,0.0026,0.0194
tesseract,clean,attention_p010,0.0411,0.1119
tesseract,clean,attention_p011,0.0464,0.1096
tesseract,clean,attention_p012,0.3871,0.64
tesseract,clean,attention_p013,0.4981,0.7097
tesseract,clean,attention_p014,0.5103,0.6948
tesseract,clean,bert_p000,0.0283,0.0562
tesseract,clean,bert_p001,0.0055,0.0225
tesseract,clean,bert_p002,0.099,0.1804
tesseract,clean,bert_p003,0.0118,0.0519
tesseract,clean,bert_p004,0.0569,0.1629
tesseract,clean,bert_p005,0.0236,0.0848
tesseract,clean,bert_p006,0.0232,0.087
tesseract,clean,bert_p007,0.0089,0.0322
tesseract,clean,bert_p008,0.0214,0.0646
tesseract,clean,bert_p009,0.0059,0.04
tesseract,clean,bert_p010,0.0048,0.0287
tesseract,clean,bert_p011,0.0051,0.0365
tesseract,clean,bert_p012,0.0732,0.1306
tesseract,clean,bert_p013,0.012,0.0462
tesseract,clean,bert_p014,0.1708,0.3035
tesseract,clean,bert_p015,0.0455,0.0747
tesseract,clean,resnet_p000,0.0479,0.0919
tesseract,clean,resnet_p001,0.0127,0.0343
tesseract,clean,resnet_p002,0.0098,0.0462
tesseract,clean,resnet_p003,0.1413,0.2509
tesseract,clean,resnet_p004,0.1888,0.3588
tesseract,clean,resnet_p005,0.0182,0.0628
tesseract,clean,resnet_p006,0.0134,0.0583
tesseract,clean,resnet_p007,0.0872,0.1192
tesseract,clean,resnet_p008,0.0609,0.1287
tesseract,clean,resnet_p009,0.0106,0.0449
tesseract,clean,resnet_p010,0.0886,0.1496
tesseract,clean,resnet_p011,0.0255,0.0729
tesseract,light,attention_p000,0.0974,0.1294
tesseract,light,attention_p001,0.0047,0.0177
tesseract,light,attention_p002,0.0586,0.0651
tesseract,light,attention_p003,0.0491,0.1053
tesseract,light,attention_p004,0.0316,0.1021
tesseract,light,attention_p005,0.0196,0.0731
tesseract,light,attention_p006,0.0133,0.0442
tesseract,light,attention_p007,0.031,0.0914
tesseract,light,attention_p008,0.0444,0.1136
tesseract,light,attention_p009,0.0051,0.0173
tesseract,light,attention_p010,0.0075,0.0583
tesseract,light,attention_p011,0.0044,0.038
tesseract,light,attention_p012,0.3758,0.592
tesseract,light,attention_p013,0.6512,0.8
tesseract,light,attention_p014,0.5346,0.7208
tesseract,light,bert_p000,0.0278,0.0527
tesseract,light,bert_p001,0.0055,0.0225
