qid,hit,anls,n_pages,doc_id
49153,False,0.0,0,
24580,False,0.0,0,
57349,False,1.0,7,snbx0223
24581,False,0.0,0,
24582,False,0.0,0,
39079,True,0.0,1,qqvf0227
57357,False,1.0,7,snbx0223
24426,False,0.0,0,
49168,True,0.0,3,txpp0227
24423,False,0.0,0,
49172,True,1.0,3,txpp0227
57364,False,0.0,7,snbx0223
57366,False,1.0,7,snbx0223
57368,True,1.0,3,snbx0223
49177,True,0.0,3,txpp0227
57370,True,1.0,3,snbx0223
57371,True,1.0,3,snbx0223
57372,True,1.0,3,snbx0223
49181,True,0.6610169491525424,3,txpp0227
57373,True,1.0,3,snbx0223
57374,False,0.0,3,ylvj0223
57375,False,0.0,3,ylvj0223
57376,False,0.0,3,ylvj0223
49187,True,0.0,3,txpp0227
16424,True,0.0,2,hsyn0081
57386,False,0.0,3,ylvj0223
57387,False,0.0,3,ylvj0223
57388,False,0.0,3,ylvj0223
16429,False,0.0,0,
57391,True,1.0,7,snbx0223
57395,True,1.0,7,snbx0223
16437,False,0.0,0,
16440,False,0.0,0,
57402,True,1.0,2,snbx0223
57403,True,1.0,2,snbx0223
57404,True,1.0,2,snbx0223
16444,False,0.0,0,
57407,True,1.0,2,snbx0223
16447,False,0.0,0,
57409,False,1.0,2,snbx0223
57410,False,1.0,2,snbx0223
57411,False,0.0,2,snbx0223
57413,False,0.0,2,snbx0223
57414,False,0.0,2,snbx0223
57415,False,0.0,2,snbx0223
57416,False,0.0,2,snbx0223
57417,False,0.0,2,snbx0223
57418,False,0.0,2,snbx0223
24437,False,0.0,0,
24438,False,0.0,0,
16455,False,0.0,0,
49234,False,0.0,0,
57428,True,1.0,1,rnbx0223
24440,False,0.0,0,
16468,False,0.0,0,
57431,True,1.0,1,rnbx0223
49242,False,0.0,0,
57439,True,0.0,1,rnbx0223
57440,True,1.0,1,rnbx0223
32870,False,0.0,0,
32871,False,0.0,0,
32872,False,0.0,0,
32873,False,0.0,0,
32874,False,0.0,0,
32875,False,0.0,0,
32876,False,0.0,0,
32877,False,0.0,1,hnhd0227
32878,False,1.0,1,hnhd0227
32879,False,0.0,1,hnhd0227
57449,False,1.0,7,snbx0223
32881,False,0.0,1,hnhd0227
32882,False,0.0,1,hnhd0227
32883,False,0.0,0,
57452,True,1.0,7,snbx0223
32885,False,0.0,0,
32886,False,0.0,0,
57454,False,1.0,7,snbx0223
49263,False,0.0,3,flpp0227
32889,False,0.0,0,
32890,False,0.0,0,
32891,False,0.0,0,
32892,False,0.0,0,
32893,False,0.0,0,
32894,False,0.0,0,
49274,False,0.0,3,flpp0227
32896,False,0.0,0,
32897,False,0.0,0,
32898,False,0.0,0,
57475,False,0.0,2,snbx0223
32900,False,0.0,0,
57476,False,0.0,2,snbx0223
49279,False,0.0,3,flpp0227
49285,False,0.0,3,flpp0227
49292,False,0.0,3,flpp0227
49297,False,1.0,3,flpp0227
49304,False,0.0,3,flpp0227
16553,False,0.0,0,
49322,False,0.0,0,
57515,False,0.0,2,snbx0223
49323,False,0.0,0,
57517,False,0.0,2,snbx0223
49324,False,0.0,0,
57519,False,0.0,2,snbx0223
49325,False,0.0,0,
57521,False,0.0,2,snbx0223
49326,False,0.0,0,
57523,False,0.0,2,snbx0223
57524,False,0.0,2,snbx0223
57525,False,1.0,7,snbx0223
57526,False,1.0,7,snbx0223
57527,False,0.0,7,snbx0223
57528,False,0.0,7,snbx0223
57529,False,0.0,7,snbx0223
57530,True,1.0,2,snbx0223
57531,True,1.0,2,snbx0223
57532,True,0.0,2,snbx0223
57533,True,0.0,2,snbx0223
16568,False,0.0,0,
16574,False,0.0,0,
57537,False,0.0,2,snbx0223
57539,False,0.0,2,snbx0223
57540,False,0.0,2,snbx0223
57543,False,0.0,2,snbx0223
57550,True,0.0,1,fqvw0217
49361,False,1.0,10,hqgb0228
49362,False,1.0,10,hqgb0228
57557,True,0.0,1,fqvw0217
